M,N,K,P,Tp,S,E,W,Cost,T0
300,300,300,1,0.199269,1.01543,1.01543,54000000,0.199269,0.0403207
300,300,300,2,0.099901,2.02544,1.01272,54000000,0.199802,0.0404285
300,300,300,3,0.06935,2.91771,0.972569,54000000,0.20805,0.0420975
300,300,300,4,0.125529,1.61192,0.402981,54000000,0.502115,0.101599
300,300,300,5,0.102464,1.97477,0.394954,54000000,0.51232,0.103664
300,300,300,6,0.0989618,2.04466,0.340776,54000000,0.593771,0.120145
300,300,300,7,0.0748909,2.70184,0.385977,54000000,0.524236,0.106075
300,300,300,8,0.0707181,2.86126,0.357658,54000000,0.565744,0.114474
300,300,300,9,0.0725641,2.78847,0.30983,54000000,0.653077,0.132146
300,300,300,10,0.0676482,2.99111,0.299111,54000000,0.676482,0.136881
300,300,300,11,0.0638139,3.17083,0.288257,54000000,0.701953,0.142035
300,300,300,12,0.0868952,2.32859,0.194049,54000000,1.04274,0.210992
300,300,300,13,0.0613279,3.29936,0.253797,54000000,0.797263,0.161321
300,300,300,14,0.058346,3.46798,0.247713,54000000,0.816844,0.165283
300,300,300,15,0.061342,3.2986,0.219907,54000000,0.92013,0.186182
300,300,300,16,0.056165,3.60265,0.225166,54000000,0.89864,0.181833
